"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
HHS Regions,Region 1,1997,40,51,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,40,155,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,40,127,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,40,183,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,40,204,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,40,61,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,40,312,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,40,82,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,40,103,0,0,0,0,0,0,0,0
HHS Regions,Region 10,1997,40,13,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,41,54,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,41,181,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,41,164,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,41,208,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,41,237,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,41,31,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,41,407,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,41,86,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,41,145,7.58621,0,0,0,11,0,0,0
HHS Regions,Region 10,1997,41,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,42,43,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,42,174,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,42,174,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,42,217,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,42,207,1.44928,0,0,0,2,0,1,0
HHS Regions,Region 6,1997,42,46,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,42,406,0.246305,0,0,0,1,0,0,0
HHS Regions,Region 8,1997,42,95,1.05263,0,0,1,0,0,0,0
HHS Regions,Region 9,1997,42,190,6.31579,0,0,2,10,0,0,0
HHS Regions,Region 10,1997,42,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,43,56,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,43,219,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,43,183,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,43,213,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,43,249,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,43,64,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,43,435,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,43,89,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,43,161,4.34783,0,0,0,7,0,0,0
HHS Regions,Region 10,1997,43,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,44,60,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,44,224,3.57143,0,0,8,0,0,0,0
HHS Regions,Region 3,1997,44,211,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,44,246,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,44,244,0,0,0,0,0,0,0,0
HHS Regions,Region 6,1997,44,71,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,44,566,0,0,0,0,0,0,0,0
HHS Regions,Region 8,1997,44,112,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,44,163,1.22699,0,0,1,1,0,0,0
HHS Regions,Region 10,1997,44,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,45,74,1.35135,0,0,0,1,0,0,0
HHS Regions,Region 2,1997,45,244,0,0,0,0,0,0,0,0
HHS Regions,Region 3,1997,45,210,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,45,280,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,45,284,0.352113,0,0,0,1,0,0,0
HHS Regions,Region 6,1997,45,79,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,45,648,0.154321,0,0,0,1,0,0,0
HHS Regions,Region 8,1997,45,124,0.806452,0,0,0,1,0,0,0
HHS Regions,Region 9,1997,45,163,1.22699,0,0,0,2,0,0,0
HHS Regions,Region 10,1997,45,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,46,70,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,46,244,0.819672,0,0,0,1,0,1,0
HHS Regions,Region 3,1997,46,259,0,0,0,0,0,0,0,0
HHS Regions,Region 4,1997,46,291,0,0,0,0,0,0,0,0
HHS Regions,Region 5,1997,46,286,0.699301,0,0,1,1,0,0,0
HHS Regions,Region 6,1997,46,65,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,46,716,0.139665,0,0,0,1,0,0,0
HHS Regions,Region 8,1997,46,115,0,0,0,0,0,0,0,0
HHS Regions,Region 9,1997,46,158,1.89873,0,0,2,1,0,0,0
HHS Regions,Region 10,1997,46,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,47,74,1.35135,0,0,0,1,0,0,0
HHS Regions,Region 2,1997,47,258,0.775194,0,0,2,0,0,0,0
HHS Regions,Region 3,1997,47,244,2.04918,0,0,2,3,0,0,0
HHS Regions,Region 4,1997,47,342,0.584795,0,0,1,1,0,0,0
HHS Regions,Region 5,1997,47,291,1.71821,0,0,0,5,0,0,0
HHS Regions,Region 6,1997,47,107,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,47,902,0.332594,0,0,0,3,0,0,0
HHS Regions,Region 8,1997,47,108,0.925926,0,0,0,1,0,0,0
HHS Regions,Region 9,1997,47,207,1.93237,0,0,0,3,0,1,0
HHS Regions,Region 10,1997,47,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,48,57,5.26316,0,0,0,3,0,0,0
HHS Regions,Region 2,1997,48,273,3.663,0,0,8,2,0,0,0
HHS Regions,Region 3,1997,48,208,0.961538,0,0,2,0,0,0,0
HHS Regions,Region 4,1997,48,299,0.668896,0,0,2,0,0,0,0
HHS Regions,Region 5,1997,48,240,0.416667,0,0,0,0,0,1,0
HHS Regions,Region 6,1997,48,85,1.17647,0,0,0,1,0,0,0
HHS Regions,Region 7,1997,48,781,1.66453,0,0,1,12,0,0,0
HHS Regions,Region 8,1997,48,126,1.5873,0,0,1,1,0,0,0
HHS Regions,Region 9,1997,48,173,1.7341,0,0,0,3,0,0,0
HHS Regions,Region 10,1997,48,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,49,42,0,0,0,0,0,0,0,0
HHS Regions,Region 2,1997,49,298,2.01342,0,0,2,4,0,0,0
HHS Regions,Region 3,1997,49,302,4.63576,0,0,2,12,0,0,0
HHS Regions,Region 4,1997,49,316,0.949367,0,0,2,1,0,0,0
HHS Regions,Region 5,1997,49,263,1.14068,0,0,0,2,0,1,0
HHS Regions,Region 6,1997,49,103,0,0,0,0,0,0,0,0
HHS Regions,Region 7,1997,49,913,0.985761,0,0,2,7,0,0,0
HHS Regions,Region 8,1997,49,149,2.01342,0,0,2,1,0,0,0
HHS Regions,Region 9,1997,49,221,0.904977,0,0,1,1,0,0,0
HHS Regions,Region 10,1997,49,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,50,45,2.22222,0,0,0,1,0,0,0
HHS Regions,Region 2,1997,50,381,3.93701,0,0,8,6,0,1,0
HHS Regions,Region 3,1997,50,337,3.85757,0,0,9,4,0,0,0
HHS Regions,Region 4,1997,50,462,1.51515,0,0,1,6,0,0,0
HHS Regions,Region 5,1997,50,306,2.61438,0,0,1,7,0,0,0
HHS Regions,Region 6,1997,50,88,3.40909,0,0,2,1,0,0,0
HHS Regions,Region 7,1997,50,1032,2.42248,0,0,2,22,0,1,0
HHS Regions,Region 8,1997,50,182,5.49451,0,0,7,3,0,0,0
HHS Regions,Region 9,1997,50,253,6.32411,0,0,7,9,0,0,0
HHS Regions,Region 10,1997,50,0,0,0,0,0,0,0,0,0
HHS Regions,Region 1,1997,51,36,2.77778,0,0,1,0,0,0,0
HHS Regions,Region 2,1997,51,437,7.32265,0,0,9,23,0,0,0
HHS Regions,Region 3,1997,51,350,8.85714,0,0,21,10,0,0,0
HHS Regions,Region 4,1997,51,530,4.33962,0,0,7,16,0,0,0
HHS Regions,Region 5,1997,51,341,8.5044,0,0,11,18,0,0,0
